Avg min between sent tnx,Avg min between received tnx,Sent tnx,Received Tnx,Unique Received From Addresses,Unique Sent To Addresses,avg val received,avg val sent,total ether received,total ether balance,FLAG
844.26,1093.71,721,89,40,118,6.589513,1.200681,586.4666748,-279.2244185,0
12709.07,2958.44,94,8,5,14,0.385685,0.032844,3.085478209,-0.001818811,0
246194.54,2434.02,2,10,10,2,0.358906,1.794308,3.58905665,0.000441,0
10219.6,15785.09,25,9,7,13,99.48884,70.001834,895.399559,-854.6463029,0
36.61,10707.77,4598,20,7,19,2.671095,0.022688,53.4218965,-50.89698629,0
9900.12,375.48,2,3,2,1,3.234908,4.851858,9.70472386,0.001008,0
69.46,629.44,25,11,9,20,1.098115,0.482496,12.079266,0.016871896,0
1497.39,176.84,213,5,3,3,0.891098,0.040861,4.45548974,-4.247902416,0
0,0,1,1,1,1,2,1.99938,2,0.00062,0
2570.59,3336.01,8,3,2,4,16.7,18.634625,50.1,-98.977,0
32.45,12921.57,10,10,2,1,1.004819,1.004055,10.04819041,0.007636018,0
3716.41,1448.09,8,246,4,3,3.381313,103.974875,831.8030477,0.004047714,0
0,12431.27,0,16,4,0,0.769166,0,12.30665958,12.30665958,0
9520.7,5776.32,7,2,2,4,0.180079,0.037563,0.36015854,0.097217423,0
14106.66,3742.82,32,24,11,21,77.125266,102.312148,1851.006376,-1422.982347,0
757.91,11.08,34,3,3,13,0.530615,0.044268,1.591844363,0.086741405,0
3.13,4923.24,57,57,2,2,0.204013,0.203593,11.6287514,0.023940002,0
27681.45,11171.03,26,11,6,15,16.564688,9.896423,182.2115661,-75.09543387,0
770.29,3.82,3,2,1,3,13.8835,9.255226,27.767,0.001323,0
163.78,1.11,2,2,2,2,50.5,50.499487,101,0.001026218,0
0,6324.45,0,18,5,0,5.662421,0,101.9235724,101.9235724,0
725.77,41108.66,7,7,4,3,8.407243,22.441764,58.85070376,-98.24164672,0
91.14,64.3,5,4,4,5,2.1875,1.749551,8.75,0.002245057,0
2477.34,6928.28,8,126,1,2,0.342666,1.2625,43.17587621,33.07587621,0
0,13339.9,0,17,6,0,4.860215,0,82.62366163,82.62366163,0
0,0,1,1,1,1,4.999,4.99774,4.999,0.00126,0
1797.42,60933.08,82,3,3,7,11.666667,0.760256,35,-27.341,0
0,0,1,1,1,1,0.547649,0.546389,0.54764892,0.00126,0
155.22,112602.93,4,3,3,3,1.512385,2.104909,4.5371564,-3.882478376,0
14626.26,6594.93,59,14,7,34,167.979641,43.052269,2351.714972,-188.368881,0
0,5498.63,0,53,4,0,0.504895,0,26.75944516,26.75944516,0
3.33,51068.75,10,11,8,1,5.11114,5.621492,56.22253457,0.00761642,0
1128.56,0,2,1,1,2,1.747981,0,1.74798122,1.74798122,0
2152.95,680.22,10,2,1,6,0.075,0.011073,0.15,0.039265736,0
0,648.26,0,694,4,0,1.618731,0,1123.399095,1123.399095,0
45.91,58.88,5970,2989,1337,2212,74.622817,37.845721,223047.6014,-2891.354427,0
0,0,1,1,1,1,0.003,0,0.003,0.003,0
1067.84,128.81,68,4375,1,4,1.055731,67.923395,4618.823828,0.03299662,0
1051.87,85496.6,3,4,2,3,1.395953,3.683667,5.5838107,-5.4671893,0
2.12,0.92,9996,4,3,2,11,0,44,44,0
17441.04,1245.91,9,3,2,4,18.996667,6.226376,56.99,0.952613114,0
45561.42,26284.49,13,8,7,5,21.925,20.327692,175.4,-88.86,0
379.78,56424.63,3,6,6,1,0.888941,4.5,5.333649,-8.166351,0
1478.05,51541.26,33,6,3,11,9.803306,2.307983,58.81983438,-17.34361821,0
164.22,0,2,1,1,2,101,50.499487,101,0.001026218,0
1790.44,450.56,6,6,5,2,2.615514,2.614933,15.69308421,0.003489099,0
803.95,112925.21,2,3,2,2,2.333333,6.955748,7,-6.911496,0
18649.44,15420.31,11,4,3,6,1.67375,0.759219,6.695,-1.656405033,0
65.85,32.24,2217,1807,1471,1205,18.736369,15.276167,33856.6182,-10.64504551,0
181.7,56819.72,12,5,5,7,63.085,59.516667,315.425,-398.775,0
23359.72,27049.27,35,13,6,23,182.498725,85.766674,2372.483424,-629.3501786,0
20827.93,0,8,1,1,2,10,12.688992,10,-91.51193767,0
4183.18,1470.01,181,140,57,103,4.007761,3.288313,561.0865,-34.0981,0
1969.46,288.59,48,10,4,13,25.810391,6.758479,258.1039104,-66.3030896,0
76.32,74.96,3424,6576,4848,1129,21.959042,43.26697,144402.6609,-3743.443847,0
26.01,82.8,6,6,5,1,1.047658,1.047197,6.28594603,0.002762225,0
8174.66,3.43,3,3,1,1,0.147,0.146551,0.441,0.001346388,0
628.48,672.28,5,2,2,4,3.433549,1.372346,6.86709731,0.00536902,0
0,0,1,1,1,1,0.854871,0.853821,0.85487138,0.00105,0
0,0,1,1,1,1,0.134989,0.134569,0.13498893,0.00042,0
22.94,14237.49,17,17,1,1,0.050856,0.047446,0.86455069,0.05797088,0
